,it,mse
0,0,0.04544617228417973
1,1,0.044083300352644524
2,2,0.04377649478773245
3,3,0.04368685361077299
4,4,0.04364649794386153
5,5,0.0436246077587204
6,6,0.04361138440210463
7,7,0.043602734947270474
8,8,0.04359672643572381
9,9,0.04359235923502148
10,10,0.04358907653906635
11,11,0.04358654907153616
12,12,0.043584572329168916
13,13,0.043583013726140526
14,14,0.043581783563999645
15,15,0.04358081815698917
16,16,0.04358006954771146
17,17,0.04357949901167313
18,18,0.04357907287157738
19,19,0.04357875980223958
20,20,0.04357852914517391
21,21,0.04357834992693752
22,22,0.04357819036628314
23,23,0.04357801770402093
24,24,0.043577798219365534
25,25,0.043577497319919195
26,26,0.043577079615109086
27,27,0.043576508906358336
28,28,0.04357574805054864
29,29,0.04357475867444123
30,30,0.04357350073477115
31,31,0.04357193193056281
32,32,0.04357000698062239
33,33,0.04356767678073942
34,34,0.043564887452963545
35,35,0.04356157929465572
36,36,0.0435576856289643
37,37,0.0435531315517903
38,38,0.04354783256368665
39,39,0.043541693068677154
40,40,0.04353460471561561
41,41,0.04352644455118129
42,42,0.04351707294653951
43,43,0.04350633125161599
44,44,0.04349403912131068
45,45,0.04347999144623998
46,46,0.04346395480615508
47,47,0.043445663346470244
48,48,0.04342481395689538
49,49,0.04340106060585167
50,50,0.043374007655666125
51,51,0.04334320195330599
52,52,0.043308123463883554
53,53,0.04326817419793612
54,54,0.04322266519456977
55,55,0.04317080138896039
56,56,0.043111664360708686
57,57,0.043044193300589104
58,58,0.04296716514771692
59,59,0.0428791758576635
60,60,0.04277862626575468
61,61,0.04266371799437771
62,62,0.04253246702246669
63,63,0.042382744131128657
64,64,0.042212351267458745
65,65,0.042019139926525485
66,66,0.041801172518314736
67,67,0.0415569235790108
68,68,0.041285518410630245
69,69,0.04098701035045942
70,70,0.04066269258447118
71,71,0.04031541317470424
72,72,0.03994981486002268
73,73,0.03957237562777454
74,74,0.039191117067916156
75,75,0.03881491879336308
76,76,0.03845253914090747
77,77,0.03811160642742621
78,78,0.03779787402259225
79,79,0.03751489898560252
80,80,0.03726412260353361
81,81,0.03704521965129131
82,82,0.036856564869078776
83,83,0.03669570037727085
84,84,0.03655973576338492
85,85,0.03644565305264093
86,86,0.03635051598372958
87,87,0.03627159770482508
88,88,0.03620644632238418
89,89,0.03615290727813294
90,90,0.03610911830541026
91,91,0.036073488733657545
92,92,0.036044671248340245
93,93,0.03602153129759434
94,94,0.03600311721873245
95,95,0.035988632722028825
96,96,0.03597741245279106
97,97,0.03596890080249192
98,98,0.035962633833343874
99,99,0.03595822402890754
100,100,0.035955347524883316
101,101,0.035953733469009055
102,102,0.03595315518170784
103,103,0.03595342282450722
104,104,0.03595437732244136
105,105,0.03595588532484418
106,106,0.035957835023783365
107,107,0.035960132679937945
108,108,0.035962699731846244
109,109,0.03596547038641623
110,110,0.035968389606849116
111,111,0.03597141142918894
112,112,0.03597449755107243
113,113,0.03597761614636656
114,114,0.03598074086764045
115,115,0.035983850005158156
116,116,0.03598692577658003
117,117,0.03598995372605372
118,118,0.03599292221504938
119,119,0.035995821990303156
120,120,0.03599864581670128
121,121,0.036001388164966446
122,122,0.0360040449456807
123,123,0.03600661328255815
124,124,0.03600909131902447
125,125,0.036011478053106054
126,126,0.03601377319642068
127,127,0.036015977053716286
128,128,0.03601809041995391
129,129,0.036020114492387734
130,130,0.036022050795481764
131,131,0.036023901116824165
132,132,0.036025667452474014
133,133,0.036027351960404214
134,134,0.03602895692089918
135,135,0.036030484702930014
136,136,0.03603193773567065
137,137,0.03603331848443587
138,138,0.03603462943042479
139,139,0.03603587305373861
140,140,0.036037051819216036
141,141,0.03603816816469243
142,142,0.03603922449134276
143,143,0.036040223155815926
144,144,0.036041166463906205
145,145,0.03604205666554352
146,146,0.03604289595091292
147,147,0.036043686447539636
148,148,0.036044430218197525
149,149,0.03604512925951866
150,150,0.03604578550119748
151,151,0.03604640080569744
152,152,0.036046976968380884
153,153,0.036047515717992855
154,154,0.036048018717439484
155,155,0.036048487564809314
156,156,0.03604892379459326
157,157,0.036049328879064584
158,158,0.03604970422978583
159,159,0.03605005119921474
160,160,0.036050371082383986
161,161,0.03605066511863429
162,162,0.036050934493383
163,163,0.036051180339912725
164,164,0.03605140374116716
165,165,0.03605160573154331
166,166,0.036051787298670666
167,167,0.036051949385169924
168,168,0.03605209289038476
169,169,0.036052218672081464
170,170,0.036052327548112176
171,171,0.036052420298038484
172,172,0.03605249766471254
173,173,0.03605256035581388
174,174,0.0360526090453405
175,175,0.03605264437505287
176,176,0.03605266695587095
177,177,0.03605267736922327
178,178,0.036052676168348625
179,179,0.03605266387955046
180,180,0.03605264100340454
181,181,0.03605260801592044
182,182,0.03605256536965789
183,183,0.03605251349479875
184,184,0.036052452800175654
185,185,0.03605238367425848
186,186,0.03605230648609979
187,187,0.036052221586240364
188,188,0.03605212930757613
189,189,0.036052029966187824
190,190,0.036051923862134294
191,191,0.03605181128021114
192,192,0.0360516924906756
193,193,0.03605156774993915
194,194,0.03605143730122884
195,195,0.0360513013752187
196,196,0.03605116019063234
197,197,0.03605101395481798
198,198,0.03605086286429685
199,199,0.03605070710528627
200,200,0.036050546854198263
201,201,0.036050382278114995
202,202,0.036050213535241696
203,203,0.03605004077533834
204,204,0.03604986414013091
205,205,0.03604968376370304
206,206,0.03604949977286899
207,207,0.03604931228752901
208,208,0.036049121421007274
209,209,0.03604892728037408
210,210,0.03604872996675199
211,211,0.036048529575607675
212,212,0.03604832619702928
213,213,0.03604811991599059
214,214,0.036047910812602155
215,215,0.036047698962350425
216,216,0.036047484436324925
217,217,0.036047267301434725
218,218,0.036047047620613955
219,219,0.03604682545301759
220,220,0.03604660085420728
221,221,0.03604637387632847
222,222,0.0360461445682785
223,223,0.03604591297586667
224,224,0.03604567914196622
225,225,0.036045443106659046
226,226,0.0360452049073732
227,227,0.03604496457901358
228,228,0.03604472215408627
229,229,0.036044477662816696
230,230,0.03604423113326203
231,231,0.03604398259141796
232,232,0.036043732061320374
233,233,0.03604347956514187
234,234,0.03604322512328361
235,235,0.03604296875446271
236,236,0.036042710475795235
237,237,0.03604245030287529
238,238,0.03604218824985005
239,239,0.036041924329491326
240,240,0.036041658553263516
241,241,0.036041390931388334
242,242,0.036041121472906404
243,243,0.03604085018573579
244,244,0.03604057707672789
245,245,0.036040302151720514
246,246,0.036040025415588456
247,247,0.03603974687229172
248,248,0.036039466524921515
249,249,0.036039184375743896
250,250,0.036038900426241645
251,251,0.03603861467715407
252,252,0.036038327128514944
253,253,0.036038037779688906
254,254,0.03603774662940598
255,255,0.03603745367579486
256,256,0.03603715891641447
257,257,0.036036862348284314
258,258,0.0360365639679135
259,259,0.036036263771328576
260,260,0.03603596175410019
261,261,0.03603565791136866
262,262,0.036035352237868565
263,263,0.03603504472795245
264,264,0.036034735375613525
265,265,0.03603442417450761
266,266,0.03603411111797436
267,267,0.03603379619905757
268,268,0.03603347941052507
269,269,0.03603316074488782
270,270,0.03603284019441844
271,271,0.03603251775116931
272,272,0.03603219340699006
273,273,0.03603186715354467
274,274,0.036031538982328165
275,275,0.03603120888468292
276,276,0.0360308768518146
277,277,0.036030542874807864
278,278,0.036030206944641714
279,279,0.03602986905220468
280,280,0.036029529188309734
281,281,0.03602918734370914
282,282,0.036028843509108975
283,283,0.0360284976751837
284,284,0.03602814983259055
285,285,0.03602779997198387
286,286,0.03602744808402941
287,287,0.03602709415941864
288,288,0.03602673818888301
289,289,0.036026380163208256
290,290,0.03602602007324879
291,291,0.03602565790994215
292,292,0.03602529366432347
293,293,0.036024927327540236
294,294,0.03602455889086698
295,295,0.03602418834572023
296,296,0.03602381568367363
297,297,0.03602344089647323
298,298,0.036023063976052996
299,299,0.03602268491455046
300,300,0.036022303704322786
301,301,0.03602192033796293
302,302,0.036021534808316095
303,303,0.03602114710849654
304,304,0.036020757231904676
305,305,0.036020365172244384
306,306,0.03601997092354072
307,307,0.036019574480157995
308,308,0.03601917583681816
309,309,0.03601877498861949
310,310,0.036018371931055775
311,311,0.03601796666003578
312,312,0.036017559171903114
313,313,0.036017149463456556
314,314,0.03601673753197064
315,315,0.03601632337521688
316,316,0.03601590699148512
317,317,0.03601548837960553
318,318,0.036015067538971025
319,319,0.03601464446955987
320,320,0.03601421917195896
321,321,0.03601379164738745
322,322,0.03601336189772078
323,323,0.03601292992551505
324,324,0.03601249573403205
325,325,0.03601205932726445
326,326,0.0360116207099615
327,327,0.036011179887655155
328,328,0.03601073686668648
329,329,0.03601029165423262
330,330,0.03600984425833389
331,331,0.036009394687921394
332,332,0.03600894295284483
333,333,0.036008489063900834
334,334,0.036008033032861195
335,335,0.03600757487250183
336,336,0.03600711459663152
337,337,0.03600665222012127
338,338,0.03600618775893344
339,339,0.036005721230151326
340,340,0.03600525265200865
341,341,0.036004782043919215
342,342,0.03600430942650644
343,343,0.03600383482163301
344,344,0.03600335825243034
345,345,0.0360028797433279
346,346,0.036002399320082444
347,347,0.03600191700980676
348,348,0.0360014328409985
349,349,0.03600094684356805
350,350,0.03600045904886652
351,351,0.035999969489712846
352,352,0.03599947820042038
353,353,0.03599898521682281
354,354,0.03599849057629931
355,355,0.03599799431779876
356,356,0.03599749648186317
357,357,0.035996997110649846
358,358,0.03599649624795262
359,359,0.03599599393922167
360,360,0.03599549023158212
361,361,0.03599498517385113
362,362,0.03599447881655342
363,363,0.035993971211935184
364,364,0.03599346241397613
365,365,0.035992952478399697
366,366,0.03599244146268128
367,367,0.035991929426054226
368,368,0.03599141642951372
369,369,0.03599090253581819
370,370,0.03599038780948832
371,371,0.03598987231680346
372,372,0.0359893561257953
373,373,0.03598883930623868
374,374,0.0359883219296397
375,375,0.03598780406922047
376,376,0.03598728579990094
377,377,0.035986767198277494
378,378,0.03598624834259814
379,379,0.03598572931273427
380,380,0.035985210190149046
381,381,0.03598469105786214
382,382,0.03598417200041081
383,383,0.03598365310380742
384,384,0.03598313445549302
385,385,0.03598261614428744
386,386,0.035982098260335355
387,387,0.035981580895048666
388,388,0.03598106414104508
389,389,0.03598054809208291
390,390,0.035980032842992005
391,391,0.03597951848960124
392,392,0.03597900512866203
393,393,0.03597849285776858
394,394,0.03597798177527436
395,395,0.03597747198020549
396,396,0.03597696357217071
397,397,0.035976456651268196
398,398,0.03597595131798965
399,399,0.03597544767312135
400,400,0.03597494581764286
401,401,0.03597444585262324
402,402,0.03597394787911505
403,403,0.0359734519980467
404,404,0.03597295831011286
405,405,0.03597246691566369
406,406,0.03597197791459294
407,407,0.0359714914062251
408,408,0.03597100748920235
409,409,0.03597052626137103
410,410,0.03597004781966845
411,411,0.03596957226001011
412,412,0.0359690996771777
413,413,0.03596863016470832
414,414,0.035968163814785174
415,415,0.03596770071813
416,416,0.03596724096389783
417,417,0.035966784639574124
418,418,0.035966331830874804
419,419,0.03596588262164935
420,420,0.03596543709378749
421,421,0.03596499532712953
422,422,0.03596455739938082
423,423,0.03596412338603043
424,424,0.035963693360274405
425,425,0.03596326739294395
426,426,0.035962845552438484
427,427,0.03596242790466386
428,428,0.03596201451297613
429,429,0.03596160543813063
430,430,0.03596120073823683
431,431,0.03596080046871886
432,432,0.035960404682281795
433,433,0.03596001342888383
434,434,0.035959626755714305
435,435,0.03595924470717757
436,436,0.03595886732488261
437,437,0.035958494647638464
438,438,0.035958126711455346
439,439,0.03595776354955123
440,440,0.035957405192363866
441,441,0.03595705166756818
442,442,0.03595670300009861
443,443,0.03595635921217641
444,444,0.03595602032334169
445,445,0.03595568635048986
446,446,0.03595535730791226
447,447,0.03595503320734088
448,448,0.035954714057996724
449,449,0.03595439986664154
450,450,0.035954090637632906
451,451,0.03595378637298197
452,452,0.035953487072413984
453,453,0.03595319273343103
454,454,0.035952903351376825
455,455,0.03595261891950327
456,456,0.03595233942903842
457,457,0.03595206486925579
458,458,0.035951795227544374
459,459,0.035951530489479605
460,460,0.03595127063889451
461,461,0.035951015657951155
